ROTD 9/30/2013, userid=qNrHLZPurBWJzeAMkFLvvA, Tracy T., San Francisco, CA, 
ROTD 9/29/2013, userid=zDltf7SGyDANcA6ndZkF7A, Julia G., San Francisco, CA, 
ROTD 9/28/2013, userid=BdMDq5SXlDU07wxErRohTw, Cath M., San Francisco, CA, 
ROTD 9/27/2013, userid=yJAkBODmbaBQnaCgMlGsbQ, Liz C., San Francisco, CA, 
ROTD 9/26/2013, userid=2G9534Zx7ph7y9k_QhbMOw, Serena Q., San Francisco, CA, 
ROTD 9/25/2013, userid=zyLIp7DRFqeIE1Grrh3Zng, Derrick V., San Francisco, CA, 
ROTD 9/24/2013, userid=WecuAsHBDZGj7Z6_sJcQAw, Jason B., San Francisco, CA, 
ROTD 9/23/2013, userid=1_WCnEFLFI6igUYtwbCbTw, Jon K., Millbrae, CA, 
ROTD 9/22/2013, userid=WDyILww9HxfTwq5zKOGymw, Amy L., San Francisco, CA, 
ROTD 9/21/2013, userid=Bx1iLCgUyu4HPepkYut4Uw, Alison B., San Francisco, CA
ROTD 9/20/2013, userid=09T1oyi6c-9lvyt7gQCD2w, Peter L., Daly City, CA, 
ROTD 9/19/2013, userid=iChrn349gyWB-8UGyn8a6Q, Heather C., San Francisco, CA, 
ROTD 9/18/2013, userid=Ixd5fdjQreCYpsIkaP_cgQ, Ryan R., San Francisco, CA, 
ROTD 9/17/2013, userid=NBNIUJj60tVBKvWHhy3egg, Maya S., San Francisco, CA, 
ROTD 9/16/2013, userid=kUXozMM-hvcSW87bM21RMw, Patra B., San Francisco, CA, 
ROTD 9/15/2013, userid=s6xZpSHNteqqsLzuC3Jd8A, Suany W., San Francisco, CA, 
ROTD 9/14/2013, userid=3HHLpfU7q4HoREEOXtt7pw, Stephanie C., San Francisco, CA, 
ROTD 9/13/2013, userid=SRnOg-4Ya4g4dUQ1x0Tdkg, Alan L., San Francisco, CA, 
ROTD 9/12/2013, userid=CSfjaTVpxugpRNEd0RtsxQ, Maria M., San Francisco, CA, 
ROTD 9/11/2013, userid=6OaTrornYAPhU-M7A8wubg, Priscilla W., San Francisco, CA
ROTD 9/10/2013, userid=zXoLUnCuIuvVWj-ZB2bdug, Cactus F., San Francisco, CA, 
ROTD 9/9/2013, userid=e6QRXwwzhebaLVX0JEztp, Greg B., San Francisco, CA, 
ROTD 9/8/2013, userid=dfYNTBw--CYlZbFz581kY, Meghan P., San Francisco, CA, 
ROTD 9/7/2013, userid=X_Cx2TX8pJVl8J6BzOrJL, Vijay P., San Francisco, CA, 
ROTD 9/6/2013, userid=TEtzbpgA2BFBrC0y0sCbf, Keane L., San Francisco, CA, 
ROTD 9/5/2013, userid=T1rP9rqslOh_72KI0IW7r, Cynthia W., San Francisco, CA, 
ROTD 9/4/2013, userid=HYQoxBC1y1DGPq6pGP09T, Matt G., San Francisco, CA, 
ROTD 9/3/2013, userid=u_tsaDmAgGnmOUGdbA2tN, Racquel N., San Francisco, CA, 
ROTD 9/2/2013, userid=kp1SDNjwwBPFmdF1kadRm, Sherry L., San Francisco, CA, 
ROTD 9/1/2013, userid=6ImN7CLRvsDnrAx6DF4nI, Joan T., Millbrae, CA
ROTD 8/31/2013, userid=I-FmdvI28N7OIIt4JZOgIg, Tiffany D., San Francisco, CA, 
ROTD 8/30/2013, userid=1XANyLruTMqMCYelC8qBig, Emilia V., San Francisco, CA, 
ROTD 8/29/2013, userid=5Tc0YXgYDvTTlps0e8xTNg, Jill D., San Francisco, CA, 
ROTD 8/28/2013, userid=dOi4DOAqncsohAOULkq7yg, Christina T., San Francisco, CA, 
ROTD 8/27/2013, userid=vcOtDqQ2Cc731kFjklFeBg, Tiffany V., San Francisco, CA, 
ROTD 8/26/2013, userid=aVaa64zb_-d6VTY3XcXyIQ, Jane A., San Francisco, CA, 
ROTD 8/25/2013, userid=eEhWNBT0lZH-WOojdnkfjQ, Harriet W., San Francisco, CA, 
ROTD 8/24/2013, userid=MUEUIYias4_h7nw09OYoCg, Loriel L., San Francisco, CA, 
ROTD 8/23/2013, userid=KJXtd4CnD6trhlVRTJW4RA, Michelle T., South San Francisco, CA, 
ROTD 8/22/2013, userid=hkEmdF3NXVS7H4CzSDlqkw, Kevin B., San Francisco, CA
ROTD 8/21/2013, userid=MVQCzaDxDr0JFefXrE38qw, Tim G., San Francisco, CA, 
ROTD 8/20/2013, userid=zAFS5GwqdQH9ZlwgL5ywAQ, Angella S., San Francisco, CA, 
ROTD 8/19/2013, userid=9HeDzIP2Kg9WzxxPLa7M-w, Lily Y., San Francisco, CA, 
ROTD 8/18/2013, userid=8wKZ9gJYJtTdSVWgW7Or6Q, John G., Daly City, CA, 
ROTD 8/17/2013, userid=Z88N6qly3Dp5C06XbZ9IMQ, Janice C., San Francisco, CA, 
ROTD 8/16/2013, userid=M7sG99xgV5-8iVMuR4VbyA, Bryce M., San Francisco, CA, 
ROTD 8/15/2013, userid=5gbkhlWANGVzQYi_0m3vOQ, Jess C., San Francisco, CA, 
ROTD 8/14/2013, userid=ZGmwGfbDDgnTFnZyOlRxVA, Ryan L., San Francisco, CA, 
ROTD 8/13/2013, userid=D2epirooWNjvwTI6MFhNGw, Susy C., San Francisco, CA, 
ROTD 8/12/2013, userid=KltM7KJixE6NksDGXaRZWg, Angelo B., San Francisco, CA
ROTD 8/11/2013, userid=F_5_UNX-wrAFCXuAkBZRDw, Rodney H., South San Francisco, CA, 
ROTD 8/10/2013, userid=96us9i9zB7QIxBtyRlhvDQ, Rho T., Daly City, CA, 
ROTD 8/9/2013, userid=m07sy7eLtOjVdZ8oN9JKa, Ed U., San Francisco, CA, 
ROTD 8/8/2013, userid=sGYrxVCEJGGBArWI1LUgx, Jennifer O., San Francisco, CA, 
ROTD 8/7/2013, userid=82dCHyU-ANOgdhxUgZsUe, Marlon T., San Diego, CA, 
ROTD 8/6/2013, userid=JKIkdVqAJLEXTq92gF98b, Mike L., San Francisco, CA, 
ROTD 8/5/2013, userid=suuIf6JWTZFjSu55k7zTB, Cathy K., San Francisco, CA, 
ROTD 8/4/2013, userid=p-8vlScJDlYfmDQoKAmsh, Daisy S., San Francisco, CA, 
ROTD 8/3/2013, userid=0XXIv9a0LWiaCjAkurjMM, David D., San Francisco, CA, 
ROTD 8/2/2013, userid=bV4m22UFyuNYC8vvQUgFw, Wendy T., Daly City, CA
ROTD 8/1/2013, userid=zG23FaSus_sZZozKMMnHw, Arnold T., San Francisco, CA, 
ROTD 7/31/2013, userid=H5EY1CeIx4m_pNChKZkq7A, Kathy V., San Francisco, CA, 
ROTD 7/30/2013, userid=M271Ac7UKVaQ9U5AOvc_9A, Vicky L., San Francisco, CA, 
ROTD 7/29/2013, userid=HbyHhB6WOSQjU-JYwED9Ww, Ann S., San Francisco, CA, 
ROTD 7/28/2013, userid=VjUuaL2A0QwrRZ8hDdFf7Q, Josie M., San Francisco, CA, 
ROTD 7/27/2013, userid=M19NwFwAXKRZzt8koF11hQ, Tammy C., San Francisco, CA, 
ROTD 7/26/2013, userid=h8pthOnqCxV94D8-JkZXCQ, Cecilia S., San Francisco, CA, 
