ROTD 9/30/2013, userid=x-LrGPXN7WFX15Qk9B6_YQ, Lindsay H., Philadelphia, PA, 
ROTD 9/29/2013, userid=4WkX5Sjp9LIrCW9leJvo4g, Nikki R., Philadelphia, PA, 
ROTD 9/27/2013, userid=yGTCTMk8QYXVaRB1ZW1QCQ, Shannon P., Philadelphia, PA,
ROTD 9/26/2013, userid=61FNJUiDqXReViksOYiILQ, Michael F., Philadelphia, PA, 
ROTD 9/25/2013, userid=fZ7alKmS6Mi7QJcGQ1-cgQ, Andrea V., Philadelphia, PA, 
ROTD 9/24/2013, userid=Yft76ogF5YzCQ4mn6vSQ6Q, Neil S., Bensalem, PA, 
ROTD 9/23/2013, userid=24n-CeWJiJMTV1cYvNmezQ, Jon Z., Philadelphia, PA, 
ROTD 9/22/2013, userid=k_muz40jJaiY1PVga6NDXA, Louis B., Rose Valley, PA, 
ROTD 9/21/2013, userid=akUC5qP68u0_frTwHLl61w, Stephanie G., Sewell, NJ, 
ROTD 9/20/2013, userid=mzL0zHFGyd9866OUljq49g, Vinny P., Philadelphia, PA,
ROTD 9/19/2013, userid=3PB1TY8e8NnnHBHTb96p7Q, Casey R., Philadelphia, PA
ROTD 9/18/2013, userid=AF2wygvqImI9gbFijr13rw, Jessica T., Philadelphia, PA, 
ROTD 9/17/2013, userid=cUk4n3GMShdIr5pLyt9PFQ, Susan L., Philadelphia, PA, 
ROTD 9/16/2013, userid=-hKniZN2OdshWLHYuj21jQ, Nicole E., Fairless Hills, PA, 
ROTD 9/15/2013, userid=7ZauzmeTHuR-8FqnmJbOtA, Michelle B., Collingswood, NJ, 
ROTD 9/14/2013, userid=q0maahM5jLGufHhN6kR8Xg, Adam P., Philadelphia, PA, 
ROTD 9/13/2013, userid=y3Wtx1pOvTiqsJRkjceXiw, Catherine L., Philadelphia, PA, 
ROTD 9/12/2013, userid=Zs8Zk3sgh5JxRmoZW4PJcg, Sarah F., Philadelphia, PA, 
ROTD 9/11/2013, userid=VClMTiHXXYlLNjalD3N4XQ, Melissa P., Philadelphia, PA, 
ROTD 9/10/2013, userid=lRRuTimITgwzoXLIM3g9qw, Tim P., West Deptford, NJ,
ROTD 9/9/2013, userid=ie9VaHvAaQgjMJP3Gn-AQQ, John F., Philadelphia, PA, 
ROTD 9/8/2013, userid=bBd8sOgkhbaEeZHjczV8ZQ, Erin M., Glenside, PA, 
ROTD 9/7/2013, userid=Yqrn6a5c8lhpllL4nkldwA, Susan G., Philadelphia, PA, 
ROTD 9/6/2013, userid=toQe9adQWV7iC7KM_eugsA, Sarah F., Philadelphia, PA, 
ROTD 9/5/2013, userid=Qr4RnZdwqjrY9_abNPZo9A, Tyler R., Philadelphia, PA, 
ROTD 9/4/2013, userid=1mHlREvqpXnQwIsdyOWHIQ, Kia S., Philadelphia, PA, 
ROTD 9/3/2013, userid=RNWJx8g-TIMVn1fpNFOCvA, Sara P., Philadelphia, PA, 
ROTD 9/2/2013, userid=yIsQ4qFCyY-clmlRwQlw_w, Christina G., Philadelphia, PA, 
ROTD 9/1/2013, userid=-G7Zkl1wIWBBmD0KRy_sCw, Gerald S., Newtown, PA, 
ROTD 8/31/2013, userid=0Ear9GEUEvSceG6uDsmyfg, Meredith B., Philadelphia, PA, 
ROTD 8/30/2013, userid=-OZPBHH7RzyPIai4AlPWKA, Leo I., Philadelphia, PA, 
ROTD 8/29/2013, userid=ojyWQJtQ_ESVDvqL-69tLA, Lia B., Philadelphia, PA, 
ROTD 8/28/2013, userid=QS_P0oKU8AscZnOHrdLDEA, Ben W., Woodbury, NJ, 
ROTD 8/27/2013, userid=ywYOA9ffPoc1gglUIFy5Ag, Jerry T., Philadelphia, PA, 
ROTD 8/26/2013, userid=GKZkLZkbFK7UmhLyx-7Qqg, Gale S., Philadelphia, PA, 
ROTD 8/25/2013, userid=ppsm8EDKjA1fp1yTCP3RrQ, Steve S., Glenolden, PA, 
ROTD 8/24/2013, userid=6woTWCjHDMEjQclniEei-A, Ida G., Philadelphia, PA, 
ROTD 8/23/2013, userid=eVWgnIaMMelbcIzydSqWMA, Lilli C., Philadelphia, PA, 
ROTD 8/22/2013, userid=GevrFd8ojonAr4fEQB9WfA, Callan W., Philadelphia, PA, 
ROTD 8/21/2013, userid=X1nvKXUJ5Lp3W9Oe-_JrMQ, Marissa R. Philadelphia, PA, 
ROTD 8/20/2013, userid=IkLdv0dFGfRJrtFVJYJnLg, Chelsea B., Goleta, CA, 
ROTD 8/19/2013, userid=ipstEfBIzzPNnR-igORpYQ, Stephanie R., Philadelphia, PA, 
ROTD 8/18/2013, userid=QRUCiW1LwtHiRDjorK3UHA, Abby W., Philadelphia, PA, 
ROTD 8/17/2013, userid=GcdYgbaF75vj7RO6EZhPOQ, Kathleen D., Collingswood, NJ, 
ROTD 8/16/2013, userid=Bok4NoUX0nRQP-OePPivdA, Gretchen E., Philadelphia, PA, 
ROTD 8/15/2013, userid=7mtarDWUY6GZe-zh8yK59Q, Kate G., Cherry Hill, NJ, 
ROTD 8/14/2013, userid=jqTa-RtGU26q3TFTmMZOAw, Wesley C., Philadelphia, PA, 
ROTD 8/13/2013, userid=aN3hqwdyeT6AmyUq3GgIIA, Sara V., Haddon Heights, NJ, 
ROTD 8/12/2013, userid=7ktyPHE-NGnWxarOqjIQiQ, Chris M., Lafayette Hill, PA, 
ROTD 8/11/2013, userid=WT36RE4WkUIaEbLDjkPB3g, Ron H., Philadelphia, PA, 
ROTD 8/10/2013, userid=tWES6_T7MRybOtqNS9NcVw, Candice B., Philadelphia, PA, 
ROTD 8/9/2013, userid=hukAFNR0SeHLnHCBLI-TSQ, Joshua J., Philadelphia, PA, 
ROTD 8/8/2013, userid=V9n2Qyr-dvNg00BwMWqquQ, Sara L., Philadelphia, PA, 
ROTD 8/7/2013, userid=C6YEJOh2TUgBUqwWN6a4cQ, Jason P., Somerdale, NJ, 
ROTD 8/6/2013, userid=Oi1qbcz2m2SnwUeztGYcnQ, Steven B., Havertown, PA, 
ROTD 8/5/2013, userid=eFRiuv-gmbd0XpkyycuL5Q, Mini P., Society Hill, Philadelphia, PA, 
ROTD 8/4/2013, userid=zrESudirjip-s8wxxAB0xw, Perry H., Philadelphia, PA, 
