Source,Target,Type,Id,Label,Weight
Dokyun_Lee_114331,Hyelim_Oh_1045498098,Undirected,774,,1
Dokyun_Lee_114331,Kevin_Yili_Hong_1050352559,Undirected,786,,1
Dokyun_Lee_114331,Fujie_Jin_1112762401,Undirected,837,,1
Dokyun_Lee_114331,Sang_Pil_Han_100000527304942,Undirected,1297,,1
Dokyun_Lee_114331,Sungyong_Um_100001029973935,Undirected,1481,,1
Dokyun_Lee_114331,Soojin_Lee_100001219495605,Undirected,1626,,1
Dokyun_Lee_114331,Byungjoon_Yoo_100003837286675,Undirected,2673,,1
Dokyun_Lee_114331,Alvin_Zheng_100006568625465,Undirected,2720,,1
Sean_Taylor_605889,Gord_Burtch_510235429,Undirected,7,,1
Sean_Taylor_605889,Sam_Seongmin_Jeon_1010864696,Undirected,719,,1
Sean_Taylor_605889,Sang_Pil_Han_100000527304942,Undirected,1298,,1
Yong-Suk_Kim_2214595,Sam_Seongmin_Jeon_1010864696,Undirected,720,,1
Yong-Suk_Kim_2214595,Hyelim_Oh_1045498098,Undirected,775,,1
Yong-Suk_Kim_2214595,Gwanhoo_Lee_1559589897,Undirected,1106,,1
Yong-Suk_Kim_2214595,Keongtae_Kim_1677111618,Undirected,1128,,1
Yong-Suk_Kim_2214595,Sang_Pil_Han_100000527304942,Undirected,1299,,1
Yong-Suk_Kim_2214595,Dongwon_Lee_100000872817953,Undirected,1386,,1
Yong-Suk_Kim_2214595,David_Dongwon_Lee_100001091392910,Undirected,1507,,1
Yong-Suk_Kim_2214595,Young-Chan_Lee_100001327248108,Undirected,1673,,1
Yong-Suk_Kim_2214595,Jungpil_Hahn_100001441813805,Undirected,1713,,1
Yong-Suk_Kim_2214595,Yong_Jin_Kim_100001724755903,Undirected,1980,,1
Yong-Suk_Kim_2214595,Byungjoon_Yoo_100003837286675,Undirected,2674,,1
Steven_L._Johnson_5734569,Yong-Suk_Kim_2214595,Undirected,8,,1
Steven_L._Johnson_5734569,Gord_Burtch_510235429,Undirected,16,,1
Steven_L._Johnson_5734569,Joseph_M._Allegra_521180775,Undirected,17,,1
Steven_L._Johnson_5734569,Samer_Faraj_528046846,Undirected,18,,1
Steven_L._Johnson_5734569,Yang_Yang_546678299,Undirected,19,,1
Steven_L._Johnson_5734569,Kevin_Yili_Hong_1050352559,Undirected,787,,1
Steven_L._Johnson_5734569,Gwanhoo_Lee_1559589897,Undirected,1107,,1
Steven_L._Johnson_5734569,Sungyong_Um_100001029973935,Undirected,1482,,1
Steven_L._Johnson_5734569,Jungpil_Hahn_100001441813805,Undirected,1714,,1
Steven_L._Johnson_5734569,Wenjuan_Yuan_100002798135050,Undirected,2446,,1
Steven_L._Johnson_5734569,Alvin_Zheng_100006568625465,Undirected,2721,,1
Paul_A._Pavlou_6316982,Steven_L._Johnson_5734569,Undirected,14,,1
Paul_A._Pavlou_6316982,Gord_Burtch_510235429,Undirected,27,,1
Paul_A._Pavlou_6316982,Joseph_M._Allegra_521180775,Undirected,28,,1
Paul_A._Pavlou_6316982,Samer_Faraj_528046846,Undirected,29,,1
Paul_A._Pavlou_6316982,Yang_Yang_546678299,Undirected,30,,1
Paul_A._Pavlou_6316982,Alok_Gupta_550657448,Undirected,31,,1
Paul_A._Pavlou_6316982,Ahreum_Lee_582024064,Undirected,32,,1
Paul_A._Pavlou_6316982,Karen_Lijia_Xie_601432711,Undirected,33,,1
Paul_A._Pavlou_6316982,Kevin_Yili_Hong_1050352559,Undirected,788,,1
Paul_A._Pavlou_6316982,Gwanhoo_Lee_1559589897,Undirected,1108,,1
Paul_A._Pavlou_6316982,Vc_Choudhary_1818650465,Undirected,1185,,1
Paul_A._Pavlou_6316982,Sang_Pil_Han_100000527304942,Undirected,1300,,1
Paul_A._Pavlou_6316982,Dongwon_Lee_100000872817953,Undirected,1387,,1
Paul_A._Pavlou_6316982,Sungyong_Um_100001029973935,Undirected,1483,,1
Paul_A._Pavlou_6316982,Jungpil_Hahn_100001441813805,Undirected,1715,,1
Paul_A._Pavlou_6316982,Tae_Hun_Kim_100001488707087,Undirected,1784,,1
Paul_A._Pavlou_6316982,Yong_Jin_Kim_100001724755903,Undirected,1981,,1
Paul_A._Pavlou_6316982,Wenjuan_Yuan_100002798135050,Undirected,2447,,1
Paul_A._Pavlou_6316982,Alvin_Zheng_100006568625465,Undirected,2722,,1
Paras_Gandhi_7932031,Sagar_Bhadra_10503828,Undirected,41,,1
Paras_Gandhi_7932031,Karim_Traboulsi_13621246,Undirected,42,,1
Paras_Gandhi_7932031,Sally_G_21010151,Undirected,43,,1
Paras_Gandhi_7932031,Muzi_Guo_21012401,Undirected,44,,1
Paras_Gandhi_7932031,Jennifer_Law_21014079,Undirected,45,,1
Paras_Gandhi_7932031,Florian_Striebich_36800961,Undirected,46,,1
Paras_Gandhi_7932031,Laura_Buhler_120601075,Undirected,47,,1
Paras_Gandhi_7932031,Julien_Kervizic_500985020,Undirected,48,,1
Paras_Gandhi_7932031,Daniela_Sh_506567418,Undirected,49,,1
Paras_Gandhi_7932031,Kitty_L_510810710,Undirected,50,,1
Paras_Gandhi_7932031,Itzel_Ram????rez_M._511465260,Undirected,51,,1
Paras_Gandhi_7932031,Michael_Schuster_527059194,Undirected,52,,1
Paras_Gandhi_7932031,Petra_Szal????ky_551565782,Undirected,53,,1
Paras_Gandhi_7932031,Ulf_Bachmann_553857610,Undirected,54,,1
Paras_Gandhi_7932031,Isabella_Reichert_565243166,Undirected,55,,1
Paras_Gandhi_7932031,Su_Kim_582606887,Undirected,56,,1
Paras_Gandhi_7932031,Andreas_Enkelmann_614284101,Undirected,57,,1
Paras_Gandhi_7932031,Julien_Dennert_635118380,Undirected,58,,1
Paras_Gandhi_7932031,S????ndor_Erdei_676315506,Undirected,59,,1
Paras_Gandhi_7932031,Beatrice_Lizana_689562026,Undirected,60,,1
Paras_Gandhi_7932031,Jae_You_705669269,Undirected,61,,1
Paras_Gandhi_7932031,Carlos_Toledo_708720226,Undirected,62,,1
Paras_Gandhi_7932031,Marcus_JB_743020190,Undirected,63,,1
Paras_Gandhi_7932031,Grace_Ga-Eun_Oh_1339907315,Undirected,937,,1
Paras_Gandhi_7932031,Tatiana_Sokolova_1382349424,Undirected,972,,1
Nadia_Mavrakis_7938038,Paras_Gandhi_7932031,Undirected,40,,1
Nadia_Mavrakis_7938038,Sagar_Bhadra_10503828,Undirected,64,,1
Nadia_Mavrakis_7938038,Karim_Traboulsi_13621246,Undirected,65,,1
Nadia_Mavrakis_7938038,Sally_G_21010151,Undirected,66,,1
Nadia_Mavrakis_7938038,Muzi_Guo_21012401,Undirected,67,,1
Nadia_Mavrakis_7938038,Jennifer_Law_21014079,Undirected,68,,1
Nadia_Mavrakis_7938038,Florian_Striebich_36800961,Undirected,69,,1
Nadia_Mavrakis_7938038,Laura_Buhler_120601075,Undirected,70,,1
Nadia_Mavrakis_7938038,Julien_Kervizic_500985020,Undirected,71,,1
Nadia_Mavrakis_7938038,Daniela_Sh_506567418,Undirected,72,,1
