Id,Label,uid,lname,Component ID,Eigenvector Centrality,Degree,Clustering Coefficient,Number of triangles,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank
0,Tatiana,3AhjaQkZABGmc0H_FrjJag,Y.,0,0.081023008,3,0.333333333,1,3,2.764240506,1253.712088,9.42E-04,9.42E-04,11,8.88E-04
1,Tony,faaOI6hU64h6SSaF0f11eg,S.,0,0.562849864,104,0.006721434,36,3,2.029272152,149770.7862,0.024734983,0.024734983,11,0.031868356
2,Dallas,O_GWZZfQx7qv-n-CN7hsIA,A.,0,0.879774772,200,0.002864322,57,4,2.426424051,182036.9944,0.04734982,0.04734982,7,0.060090022
3,Dr.,xE3lS7R7B7eMtQHV2qTu_A,K.,0,0.038401784,3,0.333333333,1,3,2.913765823,210.744912,9.42E-04,9.42E-04,11,8.98E-04
4,Sabrina,tipQmXdg181T4NvxrXPjFg,B.,0,0.636053157,201,0,0,3,2.599683544,201478.2958,0.047585394,0.047585394,10,0.065792146
5,Aura,QTNMJ8unxkk8XT4Tl4a68g,C.,0,0.931558137,200,0.002261307,45,3,2.335443038,190126.5719,0.04734982,0.04734982,8,0.059641597
6,Chris,25W8CVIdQDIkyPb8ISCGpQ,S.,0,0.763243291,192,0.001145288,21,3,2.475474684,182974.9521,0.045465253,0.045465253,4,0.059237531
7,Gabi,dIIKEfOgo0KqUfGQvGikPg,M.,0,1,201,0.002885572,58,3,2.087025316,218749.737,0.047585394,0.047585394,5,0.060489701
8,Chris,TgW-w80-ketnwdUsjsAaNw,W.,0,0.673857014,200,5.53E-04,11,3,2.454905063,212024.8703,0.04734982,0.04734982,9,0.066811814
9,r.,27WMXae0mgIYu95KZBJVSA,r.,0,0.032343297,3,0,0,4,3.025316456,2525,9.42E-04,9.42E-04,11,0.001119692
10,Deb,KGsXnYHvYddGaL_jyl0DMQ,L.,0,0.984798086,200,0.003467337,69,3,2.352848101,173721.424,0.04734982,0.04734982,6,0.05804276
11,Samantha,JmhVFueYvJe0CsUddwuajw,O.,0,0.130308702,3,0.666666667,2,3,2.638449367,1168.769231,9.42E-04,9.42E-04,11,8.81E-04
12,Larry,WnwpWcNcJhHi39gdIUfJuQ,L.,0,0.07366051,2,1,1,4,2.886075949,0,7.07E-04,7.07E-04,11,6.41E-04
13,Carrie,5x6x5Gwsr2QAh-nkujDMrg,L.,0,0.071007702,2,1,1,4,2.871835443,0,7.07E-04,7.07E-04,11,6.63E-04
14,Rob,VZDdJXseXVMRIeYiDmdZWA,J.,0,0.030979566,1,0,0,4,3.028481013,0,4.71E-04,4.71E-04,11,3.79E-04
15,Chris,yR144OlfuI4585U4_HhHlg,R.,0,0.030979566,1,0,0,4,3.028481013,0,4.71E-04,4.71E-04,11,3.79E-04
16,Curious,4UoDlO9zZhxbY-qbJQVLgw,G.,0,0.030979566,1,0,0,4,3.028481013,0,4.71E-04,4.71E-04,11,3.79E-04
17,Jon,8SgjU2fID9VqKQooFt1DIQ,H.,0,0.175162042,4,0.5,3,3,2.513449367,2605.634056,0.001177856,0.001177856,11,0.001140763
18,Ronni,dGnz1c7v7DiIl63oM4uPIQ,F.,0,0.030979566,1,0,0,4,3.028481013,0,4.71E-04,4.71E-04,11,3.79E-04
19,Christine,gru76BjkRY6UQVcw_yAxiQ,O.,0,0.130308702,3,0.666666667,2,3,2.638449367,1168.769231,9.42E-04,9.42E-04,11,8.81E-04
20,Jennifer,Ov-0pRQxz5fTTElFE-WtTQ,W.,0,0.180093059,4,0.666666667,4,3,2.515031646,1753.046205,0.001177856,0.001177856,11,0.001133898
21,Isabel,JvQwxt79ykf2pen26WUJew,M.,0,0.030979566,1,0,0,4,3.028481013,0,4.71E-04,4.71E-04,11,3.79E-04
22,Floyd,qZB8BZ2ZzMF0VfIGhttu7w,C.,0,0.222774003,5,0.5,5,3,2.39556962,5216.439405,0.001413428,0.001413428,11,0.001395959
23,Richard,ol4WxweKYfn2ncAXHrFh6g,H.,0,0.030979566,1,0,0,4,3.028481013,0,4.71E-04,4.71E-04,11,3.79E-04
24,John,jcFLiBWSzYJydnGq3VcwcA,P.,0,0.08269674,2,1,1,3,2.768987342,0,7.07E-04,7.07E-04,11,6.25E-04
26,Kevin,0ewBXg2oHMsPEuDDTpZ_kQ,O.,0,0.030979566,1,0,0,4,3.028481013,0,4.71E-04,4.71E-04,11,3.79E-04
27,Alexander,p_azadim_uWFOXAhhKB3ag,C.,0,0.125377685,3,0.666666667,2,3,2.637658228,934.0056933,9.42E-04,9.42E-04,11,8.87E-04
28,Ed,3h38QgaoxooCojoN6pZNUA,D.,0,0.125377685,3,0.666666667,2,3,2.637658228,934.0056933,9.42E-04,9.42E-04,11,8.87E-04
29,Janelle,MfknWfoPx2oilsyUK3kekA,M.,0,0.030979566,1,0,0,4,3.028481013,0,4.71E-04,4.71E-04,11,3.79E-04
30,Leslie,e-4I-az0CQ9t71F_952oGg,F.,0,0.030979566,1,0,0,4,3.028481013,0,4.71E-04,4.71E-04,11,3.79E-04
31,Wendy,J9c0XM-wV_KQmtZYxvIFFQ,J.,0,0.078591527,2,0,0,3,2.765031646,1168.769231,7.07E-04,7.07E-04,11,6.34E-04
32,Andrew,C_LNk8vsCW9oXh1llPb2UQ,M.,0,0.030979566,1,0,0,4,3.028481013,0,4.71E-04,4.71E-04,11,3.79E-04
