('__HVKcFKVdr6lVFH2rdQVw', 'Bee', 'Philadelphia, PA', 'October 2007', 6L, 70L, 7L, None, '6-57-20', 7L, datetime.datetime(2013, 12, 7, 17, 21, 42))
('_2-BxGfPQetbekB_5SQOeg', 'Jessica Z.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 40))
('_3NuVuyphd-oBoupXAK4Dg', 'Eric C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('_4IzSlKD45elCaXcKWvwCg', 'Corinne P.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 52, 27))
('_4Wn2zRkrmDfowBrNcji0Q', 'Pauline S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 19))
('_7v5xRPsgPatstC41nv6cQ', 'Lauryn O.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 51, 34))
('_9OUAPfQDQzS_kLDthRbeg', 'Wilson Yat Ming\xe2\x80\xa6', 'Philadelphia, PA', 'July 2013', 78L, 0L, None, None, None, 2L, datetime.datetime(2013, 12, 7, 17, 16, 46))
('_aIf4tpebFxtcB7Qu5BvCw', 'Brian B.', 'Philadelphia, PA', 'January 2012', 3L, 6L, None, None, '1-6-2', None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('_aR5B9L1uvvRG71GMJa76g', 'Jen A.', 'Philadelphia, PA', 'September 2010', 35L, 47L, 4L, None, '20-78-16', 6L, datetime.datetime(2013, 12, 7, 17, 14, 37))
('_b6DPOY2z1jnDcLv4wv_zQ', 'Allison P.', 'Philadelphia, PA', 'May 2007', 36L, 25L, None, None, '14-51-35', 7L, datetime.datetime(2013, 12, 7, 17, 14, 55))
('_BUOwgnpvAZvfXY2yY51UA', 'Sophie L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 52))
('_c422C_8jTw3ct_8LoJRZw', 'Dy S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 40))
('_cAh8d7PvtfcU1tfyqyKAA', 'Nalani C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 7, 50))
('_cWd9GlhAtwRUjFzmwh-Rg', 'Victoria A.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 2, 11))
('_cYsVfihHcAHNg3glRclqw', 'Meg K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 49))
('_dnMfQFIyi2gE6H9w2rSxg', 'Doreen L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 40))
('_enDRyfXOWyOJVrDdLzgIw', 'Erin F.', 'Philadelphia, PA', 'November 2011', 26L, 133L, None, '13', '9-91-15', 8L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('_fNazaGCWazM-HHcQiP-3w', 'Tiffany F.', 'Philadelphia, PA', 'July 2012', 69L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 13, 42))
('_FzWo0aSYzGDGeazV3Jg4A', 'Jodi G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 2, 55))
('_GV9T-CBEaPSeo-nxrjE2g', 'Kevin K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 9, 57))
